Packet Count, Jetson Time
183,1679939658.694501
184,1679939658.798472
185,1679939658.2895916
186,1679939658.291603
187,1679939658.2934003
188,1679939658.4948564
189,1679939658.4964883
190,1679939658.6958892
191,1679939658.697224
192,1679939658.9041283
193,1679939658.9055982
194,1679939658.1111703
195,1679939658.1113467
196,1679939658.1309755
197,1679939658.1312535
198,1679939658.150815
199,1679939658.1509516
200,1679939658.178774
201,1679939658.179319
202,1679939658.1793845
203,1679939658.1996164
204,1679939658.1997523
205,1679939658.219402
206,1679939658.2196112
207,1679939658.2328367
208,1679939658.2329912
209,1679939658.2513697
210,1679939658.2516425
211,1679939658.2796457
212,1679939658.2797954
213,1679939658.279954
214,1679939658.2987018
215,1679939658.2989824
216,1679939658.3197775
217,1679939658.3199492
218,1679939658.3407829
219,1679939658.340944
220,1679939658.3597736
221,1679939658.359897
222,1679939658.3805497
223,1679939658.3807323
224,1679939658.4013753
225,1679939658.401622
226,1679939658.4294963
227,1679939658.4296489
228,1679939658.4298012
229,1679939658.4491656
230,1679939658.4493072
231,1679939658.469283
232,1679939658.470279
233,1679939658.4822173
234,1679939658.4824033
235,1679939658.5088284
236,1679939658.509
237,1679939658.5091383
238,1679939658.5284605
239,1679939658.5286164
240,1679939658.5492728
241,1679939658.549374
242,1679939658.5700507
243,1679939658.5703244
244,1679939658.59099
245,1679939658.5911508
246,1679939658.6105711
247,1679939658.6107452
248,1679939658.6305084
249,1679939658.630628
250,1679939658.6513205
251,1679939658.651612
252,1679939658.6789992
253,1679939658.67917
254,1679939658.6792958
255,1679939658.6989992
256,1679939658.6992378
257,1679939658.7198863
258,1679939658.7200384
259,1679939658.7405622
260,1679939658.7406971
261,1679939658.7600656
262,1679939658.7602425
263,1679939658.7794912
264,1679939658.779637
265,1679939658.7797642
266,1679939658.8002148
267,1679939658.80041
268,1679939658.820011
269,1679939658.82028
270,1679939658.839751
271,1679939658.8399284
272,1679939658.8605237
273,1679939658.860715
274,1679939658.8815064
275,1679939658.881686
276,1679939658.9012282
277,1679939658.901384
278,1679939658.928976
279,1679939658.9291272
280,1679939658.929276
281,1679939658.949726
282,1679939658.9498763
283,1679939658.9705408
284,1679939658.9707124
285,1679939658.9835608
286,1679939658.9837377
287,1679939659.933413
288,1679939659.9534967
289,1679939659.9709785
290,1679939659.2939727
291,1679939659.2957711
292,1679939659.5036955
293,1679939659.5055492
294,1679939659.700012
295,1679939659.702464
296,1679939659.8977687
297,1679939659.900262
298,1679939659.110543
299,1679939659.1107256
300,1679939659.1312876
301,1679939659.131529
302,1679939659.1513891
303,1679939659.151621
304,1679939659.1789193
305,1679939659.1792257
306,1679939659.179368
307,1679939659.20003
308,1679939659.2002137
309,1679939659.2197635
310,1679939659.219915
311,1679939659.2310507
312,1679939659.231164
313,1679939659.2588446
314,1679939659.2589705
315,1679939659.2591865
316,1679939659.2796428
317,1679939659.279852
318,1679939659.2995334
319,1679939659.2997112
320,1679939659.320326
321,1679939659.320526
322,1679939659.3399813
323,1679939659.340289
324,1679939659.361006
325,1679939659.3611813
326,1679939659.3806748
327,1679939659.3808644
328,1679939659.4014628
329,1679939659.401627
330,1679939659.4290302
331,1679939659.429196
332,1679939659.4293237
333,1679939659.4486425
334,1679939659.448804
335,1679939659.4692967
336,1679939659.4694667
337,1679939659.481118
338,1679939659.4812536
339,1679939659.5096312
340,1679939659.509783
341,1679939659.510038
342,1679939659.528819
343,1679939659.5289588
344,1679939659.5499656
345,1679939659.5501318
346,1679939659.5700717
347,1679939659.5703216
348,1679939659.5908191
349,1679939659.5909276
350,1679939659.6102316
351,1679939659.610417
352,1679939659.6312327
353,1679939659.6314306
354,1679939659.6519363
355,1679939659.6521063
356,1679939659.6785257
357,1679939659.6786823
358,1679939659.678986
359,1679939659.699519
360,1679939659.6997025
361,1679939659.7212489
362,1679939659.7213588
363,1679939659.7401109
364,1679939659.7402527
365,1679939659.7598178
366,1679939659.7599914
367,1679939659.7792876
368,1679939659.7794292
369,1679939659.7795844
370,1679939659.8002996
371,1679939659.8005517
372,1679939659.8204432
373,1679939659.8205795
374,1679939659.8400066
375,1679939659.840201
376,1679939659.8607166
377,1679939659.8609183
378,1679939659.8815985
379,1679939659.8817947
380,1679939659.9081323
381,1679939659.9094193
382,1679939659.909488
383,1679939659.9290795
384,1679939659.9293163
385,1679939659.9498627
386,1679939659.9500682
387,1679939659.9714973
388,1679939659.9716437
389,1679939659.9899497
390,1679939659.9901788
391,1679939660.1079984
392,1679939660.1099494
393,1679939660.2910836
394,1679939660.3015428
395,1679939660.302384
396,1679939660.502632
397,1679939660.5039413
398,1679939660.6992877
399,1679939660.700634
400,1679939660.9080727
401,1679939660.913298
402,1679939660.1105833
403,1679939660.1108053
404,1679939660.13147
405,1679939660.1316557
406,1679939660.1589513
407,1679939660.159142
408,1679939660.1592836
409,1679939660.1791978
410,1679939660.1794343
411,1679939660.2000084
412,1679939660.2002647
413,1679939660.2198615
414,1679939660.220014
415,1679939660.2312136
416,1679939660.2313137
417,1679939660.259465
418,1679939660.2596064
419,1679939660.2597406
420,1679939660.2802026
421,1679939660.280344
422,1679939660.2997754
423,1679939660.2999487
424,1679939660.3202584
425,1679939660.3204708
426,1679939660.3408
427,1679939660.3409674
428,1679939660.3614593
429,1679939660.3616428
430,1679939660.3809118
431,1679939660.381104
432,1679939660.4085293
433,1679939660.4086945
434,1679939660.4088216
435,1679939660.4293156
436,1679939660.429494
437,1679939660.448878
438,1679939660.4491372
439,1679939660.469922
440,1679939660.47014
441,1679939660.4806476
442,1679939660.4807875
443,1679939660.508871
444,1679939660.5090506
445,1679939660.5092356
446,1679939660.5308363
447,1679939660.5309706
448,1679939660.5503287
