Packet Count, Jetson Time
0,1679939656.134654
1,1679939656.1717885
2,1679939656.174332
3,1679939656.1747663
4,1679939656.2004817
5,1679939656.2005806
6,1679939656.2341228
7,1679939656.2344246
8,1679939656.2345104
9,1679939656.2498
10,1679939656.2499764
11,1679939656.250049
12,1679939656.2695737
13,1679939656.2696588
14,1679939656.269772
15,1679939656.290422
16,1679939656.290563
17,1679939656.3107271
18,1679939656.3108444
19,1679939656.342193
20,1679939656.3423028
21,1679939656.355724
22,1679939656.357108
23,1679939656.3839655
24,1679939656.3841944
25,1679939656.3843496
26,1679939656.400152
27,1679939656.4002829
28,1679939656.4229095
29,1679939656.4235108
30,1679939656.4437816
31,1679939656.4439566
32,1679939656.4614072
33,1679939656.4616568
34,1679939656.483014
35,1679939656.483189
36,1679939656.5026853
37,1679939656.502774
38,1679939656.5028195
39,1679939656.521606
40,1679939656.5216892
41,1679939656.545597
42,1679939656.54569
43,1679939656.5622952
44,1679939656.5623827
45,1679939656.58108
46,1679939656.581204
47,1679939656.6010935
48,1679939656.6012251
49,1679939656.640126
50,1679939656.640227
51,1679939656.640272
52,1679939656.64952
53,1679939656.6496463
54,1679939656.6713731
55,1679939656.6714685
56,1679939656.69058
57,1679939656.692175
58,1679939656.7108407
59,1679939656.7109332
60,1679939656.730802
61,1679939656.7308936
62,1679939656.751515
63,1679939656.7516007
64,1679939656.7743
65,1679939656.774393
66,1679939656.7908478
67,1679939656.790938
68,1679939656.790984
69,1679939656.8104117
70,1679939656.8104904
71,1679939656.831178
72,1679939656.8312662
73,1679939656.8522675
74,1679939656.852366
75,1679939656.881212
76,1679939656.8813193
77,1679939656.8813684
78,1679939656.900388
79,1679939656.9004867
80,1679939656.9214213
81,1679939656.921516
82,1679939656.9406204
83,1679939656.940711
84,1679939656.961465
85,1679939656.9615583
86,1679939656.9812496
87,1679939656.9813178
88,1679939657.1303988
89,1679939657.1419544
90,1679939657.146748
91,1679939657.2083828
92,1679939657.2092907
93,1679939657.4042232
94,1679939657.4051409
95,1679939657.643324
96,1679939657.6442184
97,1679939657.8110027
98,1679939657.8118832
99,1679939657.101904
100,1679939657.1019993
101,1679939657.129036
102,1679939657.1291215
103,1679939657.1291726
104,1679939657.1497476
105,1679939657.1498132
106,1679939657.1707573
107,1679939657.1708536
108,1679939657.1899269
109,1679939657.1900115
110,1679939657.210419
111,1679939657.2105129
112,1679939657.2314105
113,1679939657.2315302
114,1679939657.2498317
115,1679939657.2500217
116,1679939657.2501347
117,1679939657.2694216
118,1679939657.2702208
119,1679939657.29014
120,1679939657.2902763
121,1679939657.3107536
122,1679939657.3108888
