Timestamps,Roll_N,Pitch_E,Yaw_U,Latitude,Longitude,Altitude
1679940395.832872,1.54,1.96,13.87,12.791229248,80.189743042,-47.61
1679940396.166037,1.540007737625419,1.960000122230805,13.885712393900626,12.791229248239638,80.1897430418941,-47.60999520616776
1679940396.499517,1.5400156423896207,1.9600037937302701,13.893613203499566,12.791229248482496,80.18974304179856,-47.61000054861356
1679940396.832679,4.59923075756768,1.963081708485652,13.981909082083101,12.791229248737718,80.18974304186767,-47.609998427556924
1679940397.165813,4.599230186670162,1.9630791770175355,13.969754837847638,12.791229248966008,80.18974304178266,-47.61001004347081
1679940397.499333,4.599222092847796,1.9630752660745523,13.943068906687946,12.791229249212256,80.18974304169053,-47.610014019254756
1679940397.832462,4.599217368696087,1.9630724439149383,13.924977138946538,12.79122924945467,80.18974304160018,-47.610020541177576
1679940398.165787,4.599213978706656,1.9630732635435622,13.914695769834546,12.791229249697578,80.18974304149974,-47.610016423265904
1679940398.500145,4.599202370394762,1.9630729361770858,13.912329292367168,12.791229249939784,80.18974304139742,-47.61001234711968
1679940398.832456,4.599192825672966,1.963070249750255,13.915412316801898,12.791229250184807,80.18974304129533,-47.610011753242674
1679940399.165327,4.599182459492101,1.963067773711577,13.915947816967588,12.791229250430144,80.18974304119395,-47.610011337861124
1679940399.498659,4.59918371427054,1.9630676669342204,13.9204444060944,12.791229250675304,80.1897430410921,-47.610011706523785
1679940399.831757,4.599185546139014,1.963066526486346,13.927625786321833,12.791229250913013,80.18974304099869,-47.61001967718377
1679940400.165063,4.599188010278773,1.9630679556484973,13.922466798452788,12.791229251158688,80.18974304089832,-47.61001893996154
1679940400.498392,4.59918673781534,1.963067415077194,13.908744490652715,12.79122925140554,80.18974304080203,-47.610020649475665
1679940400.83163,4.599189296425127,1.9630681178360088,13.892945908948242,12.791229251652792,80.18974304070598,-47.61002165712399
1679940401.164979,4.599195898146812,1.963067583164249,13.88494375844248,12.79122925188727,80.18974304062144,-47.610031702121724
1679940401.498306,4.5991994395301425,1.9630687343614965,13.882389507468686,12.791229252132077,80.18974304052033,-47.61002970698001
1679940401.831569,4.599198424677563,1.9630696547247963,13.88586315452812,12.791229252366978,80.18974304041639,-47.610022268534394
1679940402.164778,4.59919640023979,1.9630691858377312,13.89118076925488,12.791229252611972,80.18974304031423,-47.61002165439936
1679940402.498181,4.599196311157047,1.9630692037427788,13.89603404163595,12.791229252855864,80.1897430402111,-47.61001950556127
1679940402.831423,4.599195202253325,1.9630704439618099,13.895859122239276,12.791229253097498,80.18974304010831,-47.61001516324037
1679940403.16482,4.5991966246654945,1.9630701105430768,13.89215286876959,12.79122925334354,80.18974304001061,-47.610017305308595
1679940403.497892,4.599200783840932,1.963071425111317,13.888686211309045,12.791229253587183,80.18974303990905,-47.6100141623619
1679940403.831446,4.599203094863496,1.963076128075037,13.88492488780265,12.791229253792553,80.18974303981187,-47.60999898145302
1679940404.164566,4.59920507797664,1.963072662205584,13.8742600765869,12.791229254016152,80.18974303973602,-47.61001233461093
1679940404.497901,4.59921093785491,1.963068443485388,13.864207906779715,12.79122925421273,80.18974303967654,-47.610030865857816
1679940404.831147,4.599217128041212,1.96306931781908,13.857910176877542,12.791229254458711,80.18974303958208,-47.610034371914814
1679940405.164761,4.59921950676619,1.9630732016309134,13.85101312564586,12.79122925463314,80.18974303949211,-47.610014617196654
1679940405.497616,4.599221039024428,1.9630763302078416,13.85027511125866,12.791229254819346,80.1897430393975,-47.60999650436523
1679940405.831039,4.599221047194496,1.963076414218013,13.852257102164543,12.791229255063152,80.18974303929538,-47.60999375109279
1679940406.164308,4.5992219786312445,1.9630742410203657,13.853189884580761,12.791229255307375,80.18974303920156,-47.609998674163364
1679940406.497621,4.599222697716971,1.96307702808058,13.857432383136222,12.791229255523602,80.18974303909933,-47.609985923726484
1679940406.830785,4.599226124338876,1.9630777787270302,13.85049348826671,12.791229255768734,80.18974303899958,-47.609983625887715
1679940407.164112,4.59923084867936,1.9630740229369232,13.83424461499018,12.791229255986982,80.18974303893133,-47.609998462231
1679940407.497482,4.599234682302296,1.9630731476691852,13.830454709489986,12.79122925623142,80.18974303884009,-47.610003812354876
1679940407.830658,4.599234043694832,1.9630738791420987,13.834014843524844,12.791229256468915,80.18974303873631,-47.60999743382882
1679940408.163902,4.599227427703753,1.9630727516415367,13.84155654835319,12.791229256701602,80.18974303863138,-47.60998933912189
1679940408.497229,4.599228607272481,1.963072538060295,13.844905020898901,12.79122925694605,80.1897430385295,-47.609987260036895
1679940408.830495,4.599229442350145,1.9630739148566592,13.847685340831308,12.791229257180277,80.18974303842569,-47.60997954732615
1679940409.163839,1.5141367629341618,1.9255441293921565,15.009199959793204,12.791229257018653,80.18974303861816,-47.60996946793175
1679940409.497048,1.5141417301621751,1.9255440041570888,15.001047005741707,12.791229256912008,80.18974303870817,-47.60994450365875
1679940409.830387,1.5141450356007793,1.9255456818867505,14.997144681442967,12.791229256745718,80.1897430388012,-47.6099240699028
1679940410.163655,1.5141477036283253,1.9255446822717759,14.994931541363032,12.791229256645611,80.18974303889097,-47.609898765605266
1679940410.496952,1.5141484937739131,1.9255454839724864,14.993547285165887,12.791229256514711,80.18974303898344,-47.60987536664451
1679940410.830252,1.514147460442826,1.9255458254795756,14.994535285384089,12.791229256349723,80.1897430390773,-47.6098548507617
1679940411.163702,1.5141484543924606,1.9255470699801158,15.00191890306537,12.791229256144712,80.18974303916981,-47.609839271437636
1679940411.496773,1.5141495544839023,1.9255418864346465,14.999361973996171,12.791229256114699,80.18974303924914,-47.609811473581765
1679940411.830109,1.514154476158378,1.9255375826592536,14.983377577363001,12.79122925617038,80.18974303930838,-47.60978356970816
1679940412.163555,-1.5687045635187378,1.8871305791870165,16.11639851786444,12.79122925626889,80.18974303931827,-47.609810735451326
1679940412.496621,-4.621614181115236,1.8600763892060335,16.689141706799425,12.79122925635193,80.18974303917501,-47.60978767817689
1679940412.830053,-4.621609209217854,1.8600770830354354,16.69161488765404,12.791229256577104,80.18974303925096,-47.60977465949117
1679940413.163201,-4.621609813186411,1.8600789051416238,16.703449580712864,12.791229256724645,80.18974303932129,-47.60975156595211
1679940413.496488,-4.621611615892533,1.860079008508791,16.716694827827624,12.791229256919095,80.18974303939504,-47.609733369074306
1679940413.829809,-4.621615741858399,1.8600796149986445,16.724577579578998,12.791229257099172,80.18974303946877,-47.6097134435903
1679940414.163178,-7.699814784092779,1.8694843576456377,16.423072010599224,12.791229256920282,80.18974303949709,-47.609734817811464
1679940414.496363,-7.699817383061842,1.869483094973443,16.423927229369795,12.791229256735182,80.18974303941827,-47.60975393349242
1679940414.82981,-7.69981741820585,1.8694787118322878,16.407615672728493,12.791229256510288,80.1897430393403,-47.60976686551023
1679940415.162936,-7.699811168687936,1.8694821035347866,16.39385019002741,12.791229256431452,80.18974303926504,-47.60979360809068
1679940415.496173,-10.799066828910869,1.962285711548715,14.094421985587257,12.791229256530771,80.18974303913281,-47.60977056233335
1679940415.829527,-10.799064308662668,1.9622852161973179,14.087190166850874,12.79122925628628,80.18974303923298,-47.60976772122705
1679940416.162824,-10.799059946049075,1.9622817311364824,14.080021333113098,12.791229256057447,80.18974303932508,-47.60975689970853
1679940416.49605,-10.79905785785832,1.962282227894909,14.089263624630554,12.791229255825305,80.189743039427,-47.60976561713678
1679940416.829274,-10.799057986152864,1.9622866105183345,14.094004807503607,12.79122925563517,80.18974303951128,-47.609783832249995
1679940417.162744,-10.799059456528418,1.9622916019994467,14.0932950906513,12.791229255469176,80.18974303958441,-47.609805226626094
1679940417.495922,-10.799049498769543,1.9622956052225933,14.091140478036793,12.791229255249059,80.18974303967843,-47.609817906504766
1679940417.829345,-10.799049660650507,1.9622940734675443,14.085329588078553,12.791229255003701,80.18974303977983,-47.609817928424576
1679940418.162521,-13.870256567967278,1.940064294410432,14.683211659569116,12.791229255264511,80.18974303973367,-47.60981733428983
1679940418.495842,-13.870250447770767,1.940063564930938,14.67808252320331,12.791229255436024,80.1897430396401,-47.609837201795585
1679940418.82903,-13.870248156782411,1.9400614802677558,14.678362055014418,12.791229255622097,80.18974303954397,-47.60985523735049
1679940419.162376,-13.870246866922553,1.9400607464459176,14.673808394575568,12.79122925585531,80.18974303944927,-47.6098645460342
1679940419.495836,-13.870245673138786,1.9400613118499588,14.669750567503298,12.791229256095557,80.18974303935616,-47.609871571172434
1679940419.828918,-13.870243027679882,1.9400615671737527,14.667488748461478,12.791229256324241,80.18974303926012,-47.60988202114901
1679940420.162223,-13.870244093712865,1.940061891962699,14.663953560549498,12.791229256552125,80.18974303916428,-47.60989270609217
1679940420.495584,-13.870242419915131,1.9400639436414497,14.671927729789981,12.791229256801659,80.18974303907477,-47.60989392562131
1679940420.828748,-13.870239456394449,1.9400639506966777,14.68139045995655,12.791229257051286,80.18974303898537,-47.609895004890696
1679940421.162066,-13.870237640201955,1.9400640386822363,14.677718787591136,12.791229257273814,80.18974303888918,-47.609906957949846
1679940421.495653,-13.870234887416276,1.9400637659912396,14.672387204277086,12.791229257512951,80.18974303879604,-47.60991443206118
1679940421.828661,-13.870230095334449,1.9400666212800455,14.669365265497648,12.791229257762383,80.18974303870807,-47.6099167356585
1679940422.162112,-13.870228262553306,1.940065392681269,14.666303700968973,12.791229257974555,80.18974303861134,-47.609930761032786
1679940422.495307,-13.870228445580084,1.9400633233053137,14.656114380441744,12.791229258181664,80.18974303851623,-47.609945805572494
1679940422.828583,-13.870224006379537,1.9400635803019204,14.64450081145695,12.791229258418408,80.18974303842344,-47.60995420414244
1679940423.161847,-13.870224165804887,1.9400643246156375,14.646542558338481,12.791229258665558,80.1897430383318,-47.60995758407832
1679940423.495127,-16.86396952494663,1.9642517974648048,14.328798132353025,12.791229258444798,80.18974303818388,-47.60995947304766
1679940423.828406,-16.86396861949176,1.96424932260154,14.33180431171784,12.791229258199897,80.18974303828642,-47.609959469105526
1679940424.161614,-16.863962085039162,1.964253131985711,14.333186499253983,12.791229258004403,80.18974303835427,-47.60997780079382
1679940424.495014,-16.863960241119297,1.9642514037992682,14.334859367372964,12.791229257781858,80.1897430384555,-47.60996635190984
1679940424.828189,-16.863953177177226,1.964252834399022,14.325090135547462,12.79122925753952,80.1897430385486,-47.609972437284874
1679940425.161573,-16.863948186332877,1.9642584859899486,14.312819824770278,12.791229257372681,80.18974303859981,-47.609994490543826
1679940425.494809,-16.863946195617523,1.9642576662220959,14.297994281640456,12.791229257127581,80.18974303869923,-47.60999199890501
1679940425.828282,-16.86394617422475,1.9642539271090136,14.295264432698898,12.79122925688747,80.18974303880192,-47.60998670237298
1679940426.161342,-16.863944017494777,1.9642593409555995,14.302697748641375,12.79122925674764,80.18974303884681,-47.61001109357437
1679940426.494693,-16.863944503478287,1.9642527873481526,14.296635134072172,12.791229256521978,80.18974303894613,-47.61000021099213
1679940426.82786,-16.86394197390425,1.9642480751964342,14.276576551561453,12.791229256293537,80.1897430390424,-47.60998971919856
1679940427.161161,-16.863932094013173,1.9642506748688033,14.25770519095179,12.79122925604685,80.1897430391394,-47.60999123940214
1679940427.494579,-16.86392954246458,1.9642518139182052,14.24806809208965,12.791229255803763,80.18974303923646,-47.60999611105813
1679940427.827785,-19.926267845204407,1.9850491131851875,13.724487024838925,12.791229255923453,80.18974303941566,-47.60997867225951
